index,hostname,gaia_id,rv,query_timestamp,attempt_completed_on,srad_used_pc,ok,runtime_s,output_dir,error
51,K2-203,2535901287452166400,20.26805687,"2026-03-03 11:22:58",1,29.358731,1,29.91,ALL_RUNS\K2-203_friends,""
52,K2-218,2556472119215785728,-0.1033539027,"2026-03-03 11:23:30",1,40.000000,1,44.08,ALL_RUNS\K2-218_friends,""
53,TOI-4638,2775311010868306048,-21.23630905,"2026-03-03 11:24:17",1,29.668574,1,32.52,ALL_RUNS\TOI-4638_friends,""
55,K2-219,2581741400387500544,-20.67156029,"2026-03-03 11:36:09",1,40.000000,1,44.61,ALL_RUNS\K2-219_friends,""
59,HAT-P-28,363702817083391232,44.08592606,"2026-03-03 12:02:57",1,40.000000,1,51.00,ALL_RUNS\HAT-P-28_friends,""
60,EPIC_220674823,2582617711154563968,-14.78669739,"2026-03-03 12:03:51",1,40.000000,1,44.48,ALL_RUNS\EPIC_220674823_friends,""
62,K2-213,2551651031310145024,-6.213352203,"2026-03-03 12:04:38",1,40.000000,1,45.24,ALL_RUNS\K2-213_friends,""
63,K2-283,2581916673708201216,-4.602544308,"2026-03-03 12:05:25",1,40.000000,1,42.12,ALL_RUNS\K2-283_friends,""
64,K2-282,2580848395082660992,8.066663742,"2026-03-03 12:06:10",1,40.000000,1,40.82,ALL_RUNS\K2-282_friends,""
504,TOI-6448,5590921485126584832,19.09913445,"2026-03-05 11:13:27",1,40.000000,0,1200.06,,"TimeoutError('Attempt timed out after 1200s')"
4275,TOI-6255,1956328333130770048,-17.82416534,"2026-03-09 15:33:15",1,30.000000,1,104.19,ALL_RUNS(Sidequest)\TOI-6255_friends,""
4275,TOI-6255,1956328333130770048,-17.82416534,"2026-03-09 15:38:33",1,30.000000,1,97.20,ALL_RUNS(Sidequest)\TOI-6255_friends,""
1061,TOI-1807,1476485996883837184,-7.143650532,"2026-03-09 15:40:12",1,30.000000,1,181.92,ALL_RUNS(Sidequest)\TOI-1807_friends,""
1255,TOI-2260,1411414596649598208,-28.75943947,"2026-03-09 15:43:17",1,30.000000,1,1097.81,ALL_RUNS(Sidequest)\TOI-2260_friends,""
-1,TOI-2431,,None,"2026-03-09 16:01:36",0,,0,0,,"SIMBAD lookup failed: SimbadQueryFail: KeyError('RA') | SimbadIDsFail: KeyError('ID') | No Gaia DR3 ID found in SIMBAD IDs | No RV found in SIMBAD (need RV to run FriendFinder)"
385,TOI-431,2908664557091200768,48.66480637,"2026-03-09 16:01:36",1,30.000000,1,118.52,ALL_RUNS(Sidequest)\TOI-431_friends,""
-1,TOI-2431,22707874346819712,12.09,"2026-03-09 16:14:34",1,30.000000,1,7.86,ALL_RUNS(Sidequest)\TOI-2431_friends,""
-1,TOI-2431,22707874346819712,12.09,"2026-03-09 16:23:40",1,30.000000,1,8.34,ALL_RUNS(Sidequest)\TOI-2431_friends,""
-1,TOI-2431,22707874346819712,12.09,"2026-03-09 16:27:46",1,30.000000,1,7.72,ALL_RUNS(Sidequest)\TOI-2431_friends,""
1000,K2-224,3578783977588991360,-17.31062126,"2026-03-10 13:39:27",1,30.000000,1,32.25,ALL_RUNS(3-30-180)\K2-224_friends,""
1001,HD_109833,5838450865699668736,10.73113251,"2026-03-10 13:40:03",1,30.000000,0,1200.03,,"TimeoutError('Attempt timed out after 1200s')"
1003,HD_110067,3948424496764080640,-8.562129974,"2026-03-10 14:00:07",1,30.000000,1,184.49,ALL_RUNS(3-30-180)\HD_110067_friends,""
1009,K2-255,3682825883842696832,12.71946335,"2026-03-10 14:03:15",1,30.000000,1,29.91,ALL_RUNS(3-30-180)\K2-255_friends,""
1000,K2-224,3578783977588991360,-17.31062126,"2026-03-10 14:05:19",1,30.000000,1,32.27,ALL_RUNS(3-30-3000)\K2-224_friends,""
1001,HD_109833,5838450865699668736,10.73113251,"2026-03-10 14:05:55",1,30.000000,1,955.04,ALL_RUNS(3-30-3000)\HD_109833_friends,""
